# Daily SST for one grid cell of blended5km, written by backfill_point_history.py
# cell_lat: 48.82500076293945
# cell_lon: -125.2750015258789
# lat_range: 48.80000114440918,48.85000038146973
# lon_range: -125.29999923706055,-125.25
# stations: Folger Deep (48.81376,-125.28078,96.5m); Folger Pinnacle (48.80829,-125.2815,23.0m)
# stride_days: 7  -- backfill is weekly; see the module docstring
date,sst_c
2019-07-22,16.059993743896484
2019-07-29,16.54999351501465
2019-08-05,16.739994049072266
2019-08-12,16.179994583129883
2019-08-19,15.459994316101074
2019-08-26,15.879993438720703
2019-09-02,15.38999366760254
2019-09-09,16.309993743896484
2019-09-16,15.219993591308594
2019-09-23,16.40999412536621
2019-09-30,13.419994354248049
2019-10-07,12.549993515014648
2019-10-14,11.239994049072266
2019-10-21,11.599993705749512
2019-10-28,10.839993476867676
2019-11-04,9.339993476867676
2019-11-11,9.589993476867676
2019-11-18,10.059993743896484
2019-11-25,9.089993476867676
2019-12-02,8.579994201660156
2019-12-09,8.559993743896484
2019-12-16,8.539994239807129
2019-12-23,8.469993591308594
2019-12-30,8.839993476867676
2020-01-06,8.349993705749512
2020-01-13,8.219993591308594
2020-01-20,7.829993724822998
2020-01-27,8.469993591308594
2020-02-03,8.099993705749512
2020-02-10,8.169994354248047
2020-02-17,7.889993667602539
2020-02-24,7.97999382019043
2020-03-02,7.97999382019043
2020-03-09,7.689993858337402
2020-03-16,7.909994125366211
2020-03-23,8.499994277954102
2020-03-30,8.529994010925293
2020-04-06,8.769993782043457
2020-04-13,9.97999382019043
2020-04-20,11.059993743896484
2020-04-27,10.419994354248049
2020-05-04,10.929993629455566
2020-05-11,12.959994316101074
2020-05-18,13.25999355316162
2020-05-25,13.099993705749512
2020-06-01,12.859993934631348
2020-06-08,12.969993591308594
2020-06-16,14.13999366760254
2020-06-23,14.099993705749512
2020-06-30,14.749994277954102
2020-07-07,14.599993705749512
2020-07-14,14.849993705749512
2020-07-21,15.909994125366213
2020-07-22,15.829994201660156
2020-07-29,15.06999397277832
2020-08-05,15.579994201660156
2020-08-12,15.199994087219238
2020-08-19,16.959993362426758
2020-08-26,15.969993591308594
2020-09-02,15.869994163513184
2020-09-09,15.859993934631348
2020-09-16,14.999994277954102
2020-09-23,14.179993629455566
2020-09-30,14.63999366760254
2020-10-07,14.56999397277832
2020-10-14,13.00999355316162
2020-10-21,12.119994163513184
2020-10-28,11.199994087219238
2020-11-04,10.539994239807127
2020-11-11,10.299993515014648
2020-11-18,10.189993858337402
2020-11-25,10.029994010925291
2020-12-02,9.429993629455566
2020-12-09,8.959994316101074
2020-12-16,8.779994010925293
2020-12-23,8.619994163513184
2020-12-30,8.559993743896484
2021-01-06,8.989994049072266
2021-01-13,8.829994201660156
2021-01-20,8.459994316101074
2021-01-27,8.409994125366211
2021-02-03,8.22999382019043
2021-02-10,7.81999397277832
2021-02-17,7.519993782043457
2021-02-24,7.639993667602539
2021-03-03,7.72999382019043
2021-03-10,7.869993686676025
2021-03-17,7.999993801116943
2021-03-24,8.219993591308594
2021-03-31,8.639993667602539
2021-04-07,8.949994087219238
2021-04-14,9.739994049072266
2021-04-21,11.589993476867676
2021-04-28,11.519993782043455
2021-05-05,11.579994201660156
2021-05-12,11.63999366760254
2021-05-19,11.779994010925291
2021-05-26,12.439993858337402
2021-06-02,13.719993591308594
2021-06-09,13.049993515014648
2021-06-16,13.539994239807127
2021-06-23,15.449994087219238
2021-06-30,15.169994354248049
2021-07-07,14.869994163513184
2021-07-14,13.88999366760254
2021-07-21,15.049993515014648
2021-07-22,15.219993591308594
2021-07-29,15.589993476867676
2021-08-05,15.72999382019043
2021-08-12,15.359993934631348
2021-08-19,15.539994239807127
2021-08-26,14.579994201660156
2021-09-02,14.369994163513184
2021-09-09,14.50999355316162
2021-09-16,13.529994010925291
2021-09-23,13.189993858337402
2021-09-30,12.209994316101074
2021-10-07,12.049993515014648
2021-10-14,10.81999397277832
2021-10-21,11.589993476867676
2021-10-28,11.439993858337402
2021-11-04,11.219993591308594
2021-11-12,11.379993438720703
2021-11-20,10.289994239807127
2021-11-27,9.689993858337402
2021-12-04,9.519993782043455
2021-12-11,9.00999355316162
2021-12-18,9.019993782043455
2021-12-25,8.889993667602539
2022-01-01,8.019993782043457
2022-01-08,7.769993782043457
2022-01-15,7.839993953704834
2022-01-23,7.659994125366211
2022-01-30,7.199994087219238
2022-02-06,7.599993705749512
2022-02-13,7.749993801116943
2022-02-20,7.889993667602539
2022-02-27,7.509994029998779
2022-03-06,8.179993629455566
2022-03-13,8.049993515014648
2022-03-20,8.039994239807129
2022-03-27,8.499994277954102
2022-04-03,8.939993858337402
2022-04-10,9.109993934631348
2022-04-17,8.719993591308594
2022-04-24,8.809993743896484
2022-05-01,10.299993515014648
2022-05-08,10.609993934631348
2022-05-15,10.799993515014648
2022-05-22,11.999994277954102
2022-05-30,11.589993476867676
2022-06-07,12.159994125366213
2022-06-14,12.939993858337402
2022-06-21,13.209994316101074
2022-06-28,14.269993782043455
2022-07-05,14.199994087219238
2022-07-12,15.429993629455566
2022-07-19,14.049993515014648
2022-07-22,14.079994201660156
2022-07-29,17.129993438720703
2022-08-05,15.049993515014648
2022-08-12,16.029993057250977
2022-08-19,17.339994430541992
2022-08-26,16.459993362426758
2022-09-04,14.999994277954102
2022-09-11,14.209994316101074
2022-09-18,13.809993743896484
2022-09-26,13.339993476867676
2022-10-03,13.199994087219238
2022-10-11,12.449994087219238
2022-10-18,11.969993591308594
2022-10-25,10.439993858337402
2022-11-02,9.999994277954102
2022-11-09,9.299993515014648
2022-11-16,8.799993515014648
2022-11-23,8.409994125366211
2022-11-30,8.429993629455566
2022-12-07,8.06999397277832
2022-12-14,8.209994316101074
2022-12-21,7.749993801116943
2022-12-29,7.439993858337402
2023-01-05,7.509994029998779
2023-01-12,7.97999382019043
2023-01-19,8.119994163513184
2023-01-26,7.109993934631348
2023-02-02,7.489994049072266
2023-02-09,7.759994029998779
2023-02-16,7.349993705749512
2023-02-23,7.999993801116943
2023-03-02,7.399993896484375
2023-03-09,7.359993934631348
2023-03-16,7.039993762969971
2023-03-23,8.129993438720703
2023-03-30,8.199994087219238
2023-04-06,8.31999397277832
2023-04-13,8.789994239807129
2023-04-20,8.789994239807129
2023-04-27,10.549993515014648
2023-05-04,11.159994125366213
2023-05-11,11.749994277954102
2023-05-18,13.309993743896484
2023-05-25,13.289994239807127
2023-06-01,12.379993438720703
2023-06-08,13.31999397277832
2023-06-15,13.709994316101074
2023-06-22,13.31999397277832
2023-06-29,13.429993629455566
2023-07-06,14.529994010925291
2023-07-13,14.959994316101074
2023-07-20,14.769993782043455
2023-07-22,14.50999355316162
2023-07-29,15.97999382019043
2023-08-05,15.859993934631348
2023-08-12,15.799993515014648
2023-08-19,15.329994201660156
2023-08-26,15.379993438720703
2023-09-02,15.209994316101074
2023-09-09,14.839993476867676
2023-09-16,14.539994239807127
2023-09-23,13.129993438720703
2023-09-30,12.81999397277832
2023-10-07,13.879993438720703
2023-10-14,13.50999355316162
2023-10-21,13.619994163513184
2023-10-28,12.059993743896484
2023-11-04,11.409994125366213
2023-11-11,11.809993743896484
2023-11-18,11.179993629455566
2023-11-25,10.349993705749512
2023-12-02,10.119994163513184
2023-12-09,9.699994087219238
2023-12-16,9.539994239807127
2023-12-23,9.439993858337402
2023-12-30,9.879993438720703
2024-01-06,9.219993591308594
2024-01-13,8.929993629455566
2024-01-20,8.47999382019043
2024-01-27,8.129993438720703
2024-02-03,8.929993629455566
2024-02-10,8.609993934631348
2024-02-17,8.649993896484375
2024-02-24,8.719993591308594
2024-03-02,8.219993591308594
2024-03-09,7.959993839263916
2024-03-16,8.579994201660156
2024-03-23,8.949994087219238
2024-03-30,9.709994316101074
2024-04-06,9.969993591308594
2024-04-13,10.179993629455566
2024-04-20,11.089993476867676
2024-04-27,10.879993438720703
2024-05-04,11.289994239807127
2024-05-11,12.249994277954102
2024-05-18,11.409994125366213
2024-05-25,11.699994087219238
2024-06-01,12.019993782043455
2024-06-08,13.809993743896484
2024-06-15,12.81999397277832
2024-06-22,14.50999355316162
2024-06-29,13.679993629455566
2024-07-06,15.299993515014648
2024-07-13,15.109993934631348
2024-07-20,15.099993705749512
2024-07-22,14.849993705749512
2024-07-29,15.129993438720703
2024-08-05,15.349993705749512
2024-08-12,15.869994163513184
2024-08-19,16.289993286132812
2024-08-26,14.789994239807127
2024-09-02,15.899993896484377
2024-09-09,15.469993591308594
2024-09-16,13.669994354248049
2024-09-23,13.469993591308594
2024-09-30,12.049993515014648
2024-10-07,12.019993782043455
2024-10-14,11.38999366760254
2024-10-21,11.119994163513184
2024-10-28,11.089993476867676
2024-11-04,10.969993591308594
2024-11-11,10.629993438720703
2024-11-18,10.199994087219238
2024-11-25,10.099993705749512
2024-12-02,9.399993896484377
2024-12-09,9.339993476867676
2024-12-16,8.929993629455566
2024-12-23,9.369994163513184
2024-12-30,8.969993591308594
2025-01-06,8.779994010925293
2025-01-13,8.609993934631348
2025-01-20,8.159994125366211
2025-01-27,8.039994239807129
2025-02-08,7.859993934631348
2025-02-15,7.499993801116943
2025-02-22,7.749993801116943
2025-03-01,8.379993438720703
2025-03-08,8.379993438720703
2025-03-15,8.439993858337402
2025-03-22,8.149993896484375
2025-03-29,9.13999366760254
2025-04-05,10.459994316101074
2025-04-12,9.879993438720703
2025-04-19,10.97999382019043
2025-04-26,11.769993782043455
2025-05-03,11.099993705749512
2025-05-10,11.489994049072266
2025-05-17,11.519993782043455
2025-05-24,12.56999397277832
2025-05-31,12.439993858337402
2025-06-07,13.549993515014648
2025-06-14,12.699994087219238
2025-06-21,13.789994239807127
2025-06-28,13.699994087219238
2025-07-05,13.459994316101074
2025-07-12,14.549993515014648
2025-07-19,14.829994201660156
2025-07-22,14.959994316101074
2025-07-29,14.47999382019043
2025-08-05,15.409994125366213
2025-08-12,16.789993286132812
2025-08-19,15.439993858337402
