yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
45,8.5393,0.8748,4638,13,7.4958,7.6115,7.8781,8.3736,9.0119,9.7315,10.2034,7.6645,9.4141,6.7896,10.2889
46,8.538,0.8698,4636,13,7.5089,7.6349,7.8868,8.387,8.9473,9.7811,10.2117,7.6682,9.4078,6.7984,10.2776
47,8.5352,0.8609,4637,13,7.5378,7.6542,7.9002,8.3826,8.8602,9.795,10.2214,7.6744,9.3961,6.8135,10.257
48,8.5294,0.8494,4647,13,7.5588,7.6628,7.9085,8.3773,8.8335,9.8317,10.189,7.68,9.3788,6.8306,10.2281
49,8.5197,0.8358,4665,13,7.5709,7.6635,7.9019,8.359,8.8258,9.8441,10.1765,7.6839,9.3555,6.8481,10.1912
50,8.5075,0.8222,4665,13,7.5647,7.6596,7.897,8.333,8.8222,9.8372,10.1611,7.6853,9.3296,6.8631,10.1518
51,8.4918,0.8112,4665,13,7.5548,7.6524,7.888,8.3117,8.8153,9.808,10.1334,7.6806,9.303,6.8694,10.1142
52,8.4742,0.8028,4740,13,7.514,7.6366,7.8833,8.3,8.8182,9.7801,10.1075,7.6714,9.277,6.8686,10.0797
53,8.4548,0.7967,4733,13,7.4702,7.6162,7.8765,8.2805,8.8166,9.7795,10.0657,7.6581,9.2515,6.8614,10.0482
54,8.4347,0.7955,4733,13,7.4491,7.5984,7.8519,8.2702,8.7868,9.7793,10.0427,7.6392,9.2303,6.8437,10.0258
55,8.4138,0.7977,4733,13,7.4247,7.5708,7.8174,8.2556,8.7628,9.7579,10.0177,7.6162,9.2115,6.8185,10.0091
56,8.3936,0.8014,4733,13,7.3787,7.5197,7.779,8.2336,8.7538,9.737,10.0224,7.5923,9.195,6.7909,9.9964
57,8.3757,0.8075,4717,13,7.3447,7.4856,7.7642,8.2113,8.7313,9.7312,10.0232,7.5681,9.1832,6.7606,9.9907
58,8.3617,0.8164,4694,13,7.3406,7.4805,7.7572,8.1907,8.6843,9.7319,10.0362,7.5453,9.1782,6.7289,9.9946
59,8.3514,0.8263,4674,13,7.3331,7.4595,7.7524,8.1618,8.6661,9.7285,10.0419,7.5251,9.1777,6.6987,10.004
60,8.3444,0.8373,4680,13,7.3127,7.4443,7.7469,8.1427,8.6681,9.7303,10.0431,7.5071,9.1817,6.6697,10.019
61,8.3394,0.8494,4682,13,7.291,7.4355,7.7377,8.127,8.6746,9.7365,10.0484,7.49,9.1888,6.6405,10.0382
62,8.337,0.861,4680,13,7.2757,7.4219,7.7272,8.1133,8.7072,9.7491,10.0522,7.4759,9.198,6.6149,10.059
63,8.3378,0.872,4680,13,7.2651,7.4082,7.7184,8.102,8.7113,9.7657,10.0477,7.4658,9.2098,6.5937,10.0819
64,8.3433,0.8827,4680,13,7.2533,7.4023,7.7158,8.1149,8.7211,9.7652,10.0602,7.4606,9.2261,6.5778,10.1088
65,8.3526,0.8913,4680,13,7.2457,7.4012,7.7134,8.1279,8.7634,9.779,10.0902,7.4614,9.2439,6.5701,10.1352
66,8.366,0.8971,4680,13,7.2457,7.4027,7.7215,8.1364,8.8845,9.8089,10.1351,7.4689,9.2631,6.5718,10.1602
67,8.3817,0.8991,4608,13,7.2457,7.4086,7.7382,8.1399,9.0114,9.8171,10.1441,7.4826,9.2809,6.5834,10.18
68,8.3988,0.897,4615,13,7.2541,7.4361,7.7488,8.1484,9.0556,9.8302,10.1427,7.5018,9.2958,6.6048,10.1929
69,8.4154,0.8896,4617,13,7.2666,7.4507,7.7633,8.1699,9.0502,9.8306,10.1534,7.5257,9.305,6.6361,10.1947
