yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
45,4.5792,0.1525,2250,7,4.3196,4.3718,4.4692,4.5899,4.6945,4.7706,4.8165,4.4266,4.7317,4.2741,4.8843
46,4.573,0.1538,2250,7,4.3144,4.3642,4.4591,4.5816,4.692,4.7726,4.8197,4.4192,4.7268,4.2654,4.8806
47,4.5666,0.1545,2250,7,4.3109,4.3617,4.4511,4.5702,4.6869,4.7714,4.8168,4.4121,4.7211,4.2576,4.8756
48,4.5598,0.1546,2250,7,4.3109,4.3582,4.4431,4.5621,4.6773,4.7682,4.8118,4.4052,4.7144,4.2506,4.869
49,4.5535,0.154,2250,7,4.3071,4.3529,4.4366,4.5512,4.6649,4.7598,4.8027,4.3995,4.7075,4.2455,4.8615
50,4.5486,0.1531,2250,7,4.2995,4.3482,4.4312,4.5387,4.6566,4.7527,4.7955,4.3955,4.7016,4.2425,4.8547
51,4.5455,0.152,2250,7,4.299,4.3482,4.428,4.5338,4.6525,4.7499,4.7948,4.3935,4.6975,4.2415,4.8496
52,4.5444,0.1514,2274,7,4.2979,4.3477,4.4293,4.5371,4.6503,4.7477,4.793,4.393,4.6959,4.2415,4.8473
53,4.5446,0.1512,2274,7,4.2986,4.3483,4.4342,4.5434,4.652,4.7476,4.7898,4.3934,4.6958,4.2422,4.847
54,4.5447,0.1508,2274,7,4.2991,4.3467,4.4366,4.5479,4.6543,4.7503,4.7947,4.3939,4.6956,4.243,4.8464
55,4.5438,0.1502,2274,7,4.2985,4.3444,4.436,4.5476,4.6503,4.7503,4.7965,4.3936,4.694,4.2434,4.8442
56,4.5414,0.1491,2274,7,4.2954,4.3428,4.4358,4.5439,4.645,4.7456,4.7963,4.3923,4.6905,4.2433,4.8396
57,4.5387,0.1473,2274,7,4.2952,4.3426,4.4316,4.5376,4.6369,4.7359,4.7893,4.3914,4.686,4.2441,4.8333
58,4.5356,0.1449,2274,7,4.2975,4.344,4.4321,4.5318,4.6274,4.7246,4.7864,4.3907,4.6805,4.2459,4.8254
