yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
45,3.868,0.0972,3000,9,3.7178,3.7465,3.7999,3.8639,3.9332,3.9892,4.0328,3.7709,3.9652,3.6737,4.0623
46,3.8641,0.0956,3000,9,3.718,3.7433,3.7963,3.8606,3.9292,3.9841,4.0287,3.7685,3.9596,3.6729,4.0552
47,3.8604,0.0944,2996,9,3.7164,3.7411,3.7929,3.8578,3.9256,3.9807,4.0256,3.766,3.9548,3.6715,4.0493
48,3.8572,0.0941,2983,9,3.7144,3.737,3.7893,3.8545,3.9211,3.9745,4.0143,3.7631,3.9512,3.669,4.0453
49,3.8539,0.0944,2964,9,3.713,3.7342,3.7874,3.8513,3.9208,3.9742,4.0133,3.7595,3.9483,3.6652,4.0426
50,3.8507,0.0951,2939,9,3.7105,3.731,3.7835,3.8445,3.916,3.9724,4.0149,3.7556,3.9458,3.6605,4.0408
51,3.8481,0.0962,2915,9,3.7026,3.7268,3.7787,3.8396,3.9136,3.9739,4.0189,3.7518,3.9443,3.6556,4.0405
52,3.8455,0.0971,2923,9,3.6986,3.7234,3.7738,3.8353,3.9098,3.9734,4.0204,3.7484,3.9426,3.6514,4.0396
53,3.8435,0.0977,2899,9,3.6984,3.7227,3.7721,3.8334,3.9071,3.9745,4.0232,3.7458,3.9412,3.648,4.0389
54,3.8419,0.0977,2876,9,3.6987,3.7238,3.772,3.8325,3.9029,3.9741,4.0226,3.7442,3.9396,3.6465,4.0373
55,3.8409,0.0976,2852,9,3.6982,3.722,3.771,3.8316,3.9023,3.9715,4.0192,3.7433,3.9385,3.6458,4.036
56,3.84,0.0972,2828,9,3.6975,3.722,3.7702,3.8307,3.9001,3.9692,4.0142,3.7428,3.9373,3.6456,4.0345
57,3.839,0.097,2804,9,3.6945,3.7211,3.7688,3.8302,3.9016,3.9715,4.0143,3.742,3.9361,3.6449,4.0331
58,3.8381,0.0968,2780,9,3.6918,3.7207,3.7685,3.8312,3.9023,3.9703,4.0095,3.7412,3.9349,3.6444,4.0317
59,3.837,0.0962,2756,9,3.6906,3.7189,3.7639,3.8299,3.9,3.9701,4.0065,3.7407,3.9332,3.6445,4.0295
60,3.836,0.095,2732,9,3.6903,3.7193,3.7656,3.8291,3.8974,3.968,4.0064,3.741,3.9311,3.646,4.0261
61,3.8352,0.0938,2709,10,3.6909,3.7191,3.7669,3.8284,3.8954,3.9605,3.9988,3.7415,3.929,3.6477,4.0228
62,3.8346,0.0922,2713,10,3.6946,3.7218,3.7699,3.8292,3.8952,3.9533,3.9924,3.7424,3.9267,3.6502,4.0189
63,3.8342,0.0904,2726,10,3.6959,3.7236,3.7722,3.8299,3.8932,3.9528,3.9918,3.7438,3.9246,3.6534,4.0149
64,3.8347,0.0887,2745,10,3.6968,3.7246,3.7709,3.8289,3.89,3.9512,3.9878,3.7459,3.9234,3.6572,4.0121
65,3.8354,0.0875,2770,10,3.6962,3.7264,3.7728,3.8302,3.8898,3.9496,3.9851,3.7479,3.9229,3.6604,4.0104
66,3.836,0.0865,2794,10,3.7004,3.7318,3.7761,3.8328,3.8902,3.9501,3.9859,3.7495,3.9225,3.6629,4.009
67,3.8366,0.0864,2786,10,3.7022,3.7342,3.7794,3.8346,3.8932,3.9521,3.9887,3.7502,3.9231,3.6638,4.0095
68,3.8369,0.0872,2810,10,3.6995,3.7319,3.778,3.8347,3.8933,3.9518,3.9878,3.7496,3.9241,3.6624,4.0114
69,3.8364,0.0889,2833,9,3.6931,3.7256,3.7753,3.8335,3.8953,3.9543,3.9883,3.7475,3.9253,3.6586,4.0142
70,3.8355,0.0909,2857,9,3.684,3.719,3.7725,3.8316,3.8954,3.958,3.9905,3.7446,3.9265,3.6537,4.0174
71,3.8345,0.093,2881,9,3.6809,3.7149,3.7698,3.8301,3.8971,3.9606,3.993,3.7416,3.9275,3.6486,4.0205
72,3.834,0.0944,2905,9,3.6752,3.7117,3.7684,3.8311,3.8986,3.9615,3.9952,3.7396,3.9284,3.6452,4.0228
73,3.834,0.0954,2929,9,3.674,3.71,3.7663,3.8302,3.8971,3.962,4.0003,3.7386,3.9294,3.6432,4.0248
74,3.8346,0.0962,2960,10,3.6742,3.7118,3.7683,3.8314,3.8977,3.9622,3.9991,3.7384,3.9307,3.6422,4.0269
75,3.8353,0.0966,3008,10,3.6742,3.711,3.7669,3.8341,3.9021,3.9636,3.9968,3.7386,3.9319,3.642,4.0285
76,3.8365,0.0967,3055,10,3.6736,3.7112,3.7684,3.8358,3.9043,3.9648,4.0026,3.7398,3.9331,3.6431,4.0298
77,3.8381,0.0968,3079,10,3.6735,3.7114,3.7693,3.839,3.9039,3.9649,4.0033,3.7412,3.9349,3.6444,4.0317
78,3.8399,0.097,3103,10,3.6743,3.713,3.7731,3.8402,3.9045,3.9648,4.001,3.7429,3.937,3.6458,4.034
79,3.8419,0.0971,3127,10,3.6782,3.7158,3.7759,3.8435,3.9081,3.9659,4.0028,3.7449,3.939,3.6478,4.0361
80,3.8441,0.0972,3151,10,3.6812,3.7173,3.778,3.8451,3.9126,3.9699,4.005,3.7469,3.9413,3.6497,4.0385
81,3.8462,0.0978,3170,10,3.6835,3.7181,3.7807,3.8472,3.9147,3.971,4.0072,3.7484,3.944,3.6506,4.0418
82,3.848,0.0987,3194,10,3.6826,3.7181,3.7823,3.8491,3.9173,3.9728,4.0066,3.7494,3.9467,3.6507,4.0454
83,3.8495,0.0995,3218,10,3.6812,3.7151,3.783,3.8523,3.9197,3.9734,4.0073,3.75,3.949,3.6505,4.0486
84,3.8508,0.1007,3242,10,3.6812,3.7136,3.784,3.8547,3.9222,3.9752,4.0089,3.7501,3.9515,3.6494,4.0522
85,3.8516,0.1019,3266,10,3.6812,3.7133,3.7856,3.8557,3.924,3.9768,4.0129,3.7497,3.9535,3.6479,4.0554
86,3.8521,0.1031,3290,10,3.6794,3.7134,3.7856,3.8578,3.9253,3.979,4.0224,3.749,3.9552,3.6459,4.0584
87,3.8521,0.1045,3314,10,3.6749,3.7131,3.7851,3.8573,3.9249,3.979,4.0196,3.7476,3.9566,3.643,4.0612
88,3.8518,0.1063,3338,10,3.6672,3.7096,3.7856,3.8581,3.9258,3.9787,4.0176,3.7455,3.958,3.6393,4.0643
89,3.8513,0.108,3353,10,3.6595,3.6985,3.7846,3.8597,3.926,3.9783,4.0158,3.7433,3.9593,3.6354,4.0673
90,3.851,0.1102,3333,10,3.6512,3.6924,3.7842,3.8612,3.9284,3.9795,4.018,3.7408,3.9612,3.6306,4.0714
91,3.8507,0.1126,3333,10,3.6508,3.6886,3.783,3.8629,3.9301,3.9819,4.0225,3.7381,3.9633,3.6255,4.0759
92,3.85,0.1149,3325,10,3.6476,3.6871,3.7804,3.8628,3.9306,3.9852,4.0296,3.7351,3.9649,3.6202,4.0799
93,3.8487,0.1168,3325,10,3.6457,3.6849,3.7743,3.8629,3.9323,3.9883,4.0323,3.7319,3.9655,3.6152,4.0823
94,3.8464,0.1182,3325,10,3.6376,3.6748,3.7711,3.861,3.9308,3.9877,4.0318,3.7282,3.9647,3.61,4.0829
95,3.8435,0.1192,3325,10,3.6345,3.6685,3.7674,3.8571,3.9274,3.9844,4.0268,3.7243,3.9626,3.6051,4.0818
96,3.8397,0.1196,3330,10,3.6315,3.666,3.7613,3.8519,3.923,3.9794,4.0226,3.7201,3.9593,3.6005,4.0789
97,3.8357,0.1194,3322,10,3.6292,3.6643,3.7559,3.8462,3.9206,3.9788,4.0211,3.7163,3.9551,3.5969,4.0745
98,3.8319,0.1189,3298,10,3.6255,3.6634,3.7513,3.8389,3.9164,3.9763,4.0176,3.713,3.9508,3.5942,4.0697
99,3.8285,0.1176,3274,10,3.6255,3.6635,3.7471,3.8334,3.9109,3.9707,4.0155,3.7109,3.9461,3.5933,4.0637
100,3.8258,0.1159,3250,10,3.6288,3.6645,3.7433,3.8291,3.9066,3.968,4.0126,3.7099,3.9418,3.594,4.0577
101,3.8243,0.1143,3249,10,3.6326,3.6664,3.7449,3.8247,3.9003,3.9608,4.002,3.71,3.9386,3.5957,4.053
102,3.8241,0.113,3249,10,3.6339,3.668,3.7466,3.8236,3.8984,3.9591,3.9989,3.7111,3.9371,3.5981,4.0501
103,3.8252,0.1123,3249,10,3.6362,3.6732,3.7481,3.8236,3.9001,3.9613,4.0017,3.7129,3.9375,3.6006,4.0498
104,3.8274,0.1121,3248,10,3.6397,3.6788,3.7502,3.8236,3.903,3.9654,4.0091,3.7153,3.9395,3.6031,4.0516
105,3.8303,0.1122,3268,10,3.6453,3.6848,3.7555,3.827,3.904,3.9727,4.026,3.7181,3.9424,3.606,4.0546
106,3.8333,0.1121,3268,10,3.646,3.6883,3.7614,3.8315,3.9065,3.9778,4.0253,3.7212,3.9454,3.6091,4.0575
107,3.8365,0.1116,3276,10,3.6496,3.6938,3.7637,3.8355,3.9113,3.9832,4.027,3.725,3.9481,3.6134,4.0597
108,3.8399,0.1106,3276,10,3.6524,3.6975,3.7664,3.8387,3.9119,3.9836,4.0289,3.7293,3.9505,3.6187,4.0611
109,3.8436,0.1097,3276,10,3.6643,3.7041,3.7706,3.8421,3.9133,3.9839,4.0283,3.7339,3.9532,3.6242,4.0629
110,3.8475,0.1087,3276,10,3.6722,3.7115,3.7743,3.8473,3.9185,3.988,4.0325,3.7388,3.9562,3.63,4.0649
111,3.8518,0.1078,3276,10,3.6795,3.7156,3.7792,3.8512,3.9216,3.9923,4.0347,3.744,3.9596,3.6363,4.0674
112,3.8567,0.1073,3284,10,3.6842,3.7184,3.7833,3.856,3.9268,3.997,4.0378,3.7493,3.964,3.642,4.0713
113,3.8614,0.1073,3308,10,3.6871,3.7255,3.7893,3.8602,3.9318,4.0006,4.0395,3.7541,3.9687,3.6468,4.076
114,3.8657,0.1077,3332,10,3.6882,3.7328,3.7965,3.8658,3.9374,4.0067,4.0457,3.7581,3.9734,3.6504,4.0811
115,3.8696,0.1082,3356,10,3.6935,3.7367,3.8007,3.8708,3.943,4.0102,4.0492,3.7614,3.9778,3.6532,4.086
116,3.8727,0.109,3357,10,3.6904,3.7379,3.8042,3.8749,3.9464,4.012,4.0515,3.7637,3.9817,3.6547,4.0908
117,3.8747,0.1097,3356,10,3.6964,3.7411,3.8068,3.8776,3.9482,4.0123,4.0525,3.765,3.9844,3.6554,4.0941
118,3.8754,0.1099,3356,10,3.6992,3.7423,3.8074,3.8791,3.9491,4.013,4.051,3.7655,3.9854,3.6556,4.0953
119,3.8754,0.11,3357,10,3.7013,3.7436,3.8074,3.8808,3.9502,4.0118,4.047,3.7654,3.9854,3.6555,4.0953
120,3.8749,0.1101,3357,10,3.6973,3.7382,3.8067,3.8817,3.9476,4.0087,4.0387,3.7648,3.985,3.6546,4.0952
121,3.8745,0.1104,3357,10,3.6953,3.7371,3.8049,3.881,3.9472,4.0081,4.0381,3.7641,3.9849,3.6537,4.0953
122,3.8743,0.1109,3357,10,3.6932,3.7357,3.8036,3.8817,3.9484,4.0069,4.0381,3.7634,3.9852,3.6524,4.0961
123,3.8746,0.1118,3357,10,3.6913,3.7332,3.8026,3.8836,3.9507,4.0092,4.0392,3.7627,3.9864,3.6509,4.0982
124,3.8755,0.1129,3357,10,3.6895,3.7329,3.8027,3.8857,3.954,4.0099,4.0417,3.7626,3.9885,3.6497,4.1014
125,3.877,0.1139,3357,10,3.6836,3.7305,3.8047,3.8857,3.956,4.0114,4.0438,3.7631,3.991,3.6492,4.1049
126,3.879,0.1146,3357,10,3.679,3.7287,3.8073,3.8886,3.9568,4.0163,4.0549,3.7644,3.9936,3.6498,4.1082
127,3.881,0.1149,3357,10,3.6804,3.7317,3.8118,3.8899,3.9576,4.0185,4.0591,3.7662,3.9959,3.6513,4.1108
128,3.8834,0.1147,3357,10,3.6899,3.7377,3.8142,3.8923,3.9599,4.0227,4.0642,3.7687,3.9981,3.654,4.1128
129,3.8864,0.1144,3359,11,3.6946,3.7407,3.8171,3.8921,3.9612,4.0236,4.0668,3.772,4.0008,3.6575,4.1153
130,3.8895,0.1145,3383,11,3.6977,3.7431,3.8188,3.8931,3.9644,4.0254,4.0667,3.775,4.004,3.6606,4.1184
131,3.8926,0.1146,3407,11,3.7015,3.7477,3.8214,3.8979,3.9697,4.0349,4.0772,3.778,4.0072,3.6634,4.1218
132,3.8957,0.1149,3432,11,3.7013,3.747,3.8231,3.8999,3.9741,4.0423,4.0814,3.7809,4.0106,3.666,4.1255
133,3.8986,0.1153,3456,11,3.7013,3.7498,3.827,3.9023,3.9767,4.047,4.0878,3.7833,4.014,3.6679,4.1293
134,3.9006,0.1156,3478,11,3.7019,3.7522,3.8278,3.9015,3.9778,4.0511,4.0931,3.7849,4.0162,3.6693,4.1318
135,3.9015,0.1158,3502,11,3.7043,3.7546,3.8277,3.9008,3.9783,4.0535,4.0958,3.7857,4.0172,3.6699,4.133
136,3.9013,0.1158,3524,11,3.7043,3.7519,3.8276,3.9022,3.9801,4.0533,4.0954,3.7855,4.0172,3.6697,4.133
137,3.9008,0.116,3548,11,3.7014,3.7472,3.8227,3.9015,3.9788,4.0512,4.0927,3.7847,4.0168,3.6687,4.1328
138,3.8997,0.1165,3572,11,3.7012,3.7463,3.8203,3.8993,3.9774,4.0488,4.0912,3.7833,4.0162,3.6668,4.1327
139,3.898,0.1169,3591,11,3.7016,3.7451,3.8172,3.8987,3.9772,4.0489,4.0913,3.7811,4.0149,3.6642,4.1317
140,3.8962,0.1173,3611,11,3.7011,3.7427,3.8137,3.8982,3.9767,4.0489,4.0913,3.7789,4.0135,3.6616,4.1308
141,3.8944,0.1181,3635,11,3.7003,3.7367,3.809,3.8962,3.975,4.045,4.0876,3.7764,4.0125,3.6583,4.1306
142,3.8927,0.1188,3651,11,3.6986,3.7338,3.8042,3.8953,3.975,4.0436,4.0841,3.7739,4.0115,3.6551,4.1303
