yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
50,8.6413,1.1524,9546,30,6.8,7.5,7.9,8.4,9.2,10.25,11.0,7.4888,9.7937,6.3364,10.9461
51,8.6402,1.1434,9580,30,6.9,7.5,7.9,8.4,9.2,10.2,10.905,7.4968,9.7836,6.3533,10.9271
52,8.6396,1.1344,9734,30,6.9,7.4,7.9,8.4,9.3,10.2,10.9,7.5052,9.7739,6.3708,10.9083
53,8.6379,1.1241,9778,30,6.9,7.4,7.9,8.4,9.3,10.2,10.8,7.5138,9.762,6.3897,10.8861
54,8.6353,1.1129,9806,30,7.0,7.4,7.9,8.4,9.3,10.2,10.7,7.5224,9.7482,6.4095,10.8611
55,8.6303,1.1011,9842,30,7.0,7.4,7.9,8.4,9.3,10.2,10.6,7.5292,9.7315,6.4281,10.8326
56,8.6241,1.0898,9862,30,7.1,7.5,7.9,8.4,9.3,10.2,10.5,7.5343,9.7138,6.4445,10.8036
57,8.6162,1.0787,9900,30,7.1,7.5,7.9,8.4,9.3,10.2,10.4,7.5375,9.6949,6.4587,10.7737
58,8.6085,1.0707,9932,30,7.1,7.4,7.9,8.4,9.2,10.2,10.4,7.5378,9.6792,6.4671,10.7499
59,8.6026,1.0657,9956,30,7.1,7.4,7.9,8.4,9.2,10.1,10.4,7.5369,9.6683,6.4712,10.734
60,8.5973,1.0631,9925,30,7.2,7.4,7.9,8.4,9.2,10.1,10.4,7.5343,9.6604,6.4712,10.7234
61,8.5939,1.0637,9945,30,7.1,7.4,7.9,8.4,9.2,10.1,10.4,7.5302,9.6577,6.4665,10.7214
62,8.5918,1.0669,9954,30,7.1,7.4,7.9,8.4,9.2,10.1,10.4,7.5249,9.6587,6.458,10.7256
63,8.5921,1.0709,9930,30,7.1,7.4,7.9,8.4,9.2,10.2,10.4,7.5213,9.663,6.4504,10.7339
64,8.5956,1.0759,9924,30,7.1,7.4,7.9,8.3,9.2,10.2,10.4,7.5198,9.6715,6.4439,10.7474
65,8.602,1.0816,9911,30,7.1,7.4,7.9,8.3,9.2,10.2,10.5,7.5204,9.6836,6.4388,10.7652
66,8.6102,1.0855,9898,30,7.2,7.4,7.9,8.3,9.2,10.23,10.5,7.5246,9.6957,6.4391,10.7812
67,8.6196,1.0879,9757,30,7.2,7.4,7.9,8.3,9.2,10.3,10.6,7.5317,9.7074,6.4439,10.7953
68,8.6317,1.0901,9723,30,7.2,7.4,7.9,8.4,9.2,10.3,10.6,7.5416,9.7218,6.4514,10.812
69,8.6461,1.092,9685,30,7.2,7.4,7.9,8.4,9.3,10.3,10.6,7.5541,9.7381,6.4622,10.83
70,8.6649,1.094,9682,30,7.2,7.4,8.0,8.4,9.3,10.3,10.6,7.571,9.7589,6.477,10.8529
71,8.6862,1.0957,9672,30,7.2,7.4,8.0,8.4,9.3,10.3,10.7,7.5905,9.7819,6.4948,10.8777
72,8.7098,1.0973,9633,30,7.2,7.5,8.0,8.4,9.3,10.3,10.7,7.6126,9.8071,6.5153,10.9044
73,8.733,1.0957,9618,30,7.3,7.5,8.0,8.5,9.4,10.3,10.7,7.6374,9.8287,6.5417,10.9244
74,8.7542,1.0908,9595,30,7.3,7.5,8.0,8.5,9.4,10.4,10.7,7.6634,9.8449,6.5726,10.9357
75,8.7739,1.084,9635,30,7.3,7.6,8.0,8.5,9.4,10.4,10.8,7.6899,9.8579,6.6059,10.9419
76,8.7939,1.0755,9666,30,7.3,7.6,8.1,8.6,9.4,10.4,10.8,7.7184,9.8695,6.6428,10.945
77,8.8135,1.0643,9700,31,7.395,7.6,8.1,8.6,9.4,10.4,10.8,7.7492,9.8778,6.685,10.942
78,8.8328,1.0532,9758,31,7.4,7.7,8.1,8.6,9.4,10.4,10.8,7.7796,9.886,6.7264,10.9392
79,8.8525,1.0425,9811,31,7.4,7.7,8.1,8.6,9.5,10.3,10.8,7.81,9.895,6.7675,10.9375
80,8.8721,1.0324,9863,31,7.5,7.7,8.2,8.7,9.5,10.3,10.8,7.8397,9.9045,6.8073,10.9369
81,8.8929,1.0259,9852,31,7.5,7.8,8.2,8.7,9.5,10.3,10.7,7.867,9.9188,6.8412,10.9447
82,8.9171,1.0228,9857,31,7.5,7.8,8.2,8.7,9.5,10.3,10.7,7.8943,9.9399,6.8715,10.9627
83,8.9443,1.0221,9875,31,7.5,7.8,8.3,8.8,9.5,10.3,10.8,7.9222,9.9664,6.9,10.9886
84,8.9731,1.0232,9926,31,7.5,7.8,8.3,8.8,9.5,10.4,10.8,7.9499,9.9964,6.9266,11.0196
85,9.0024,1.0242,9933,31,7.5,7.9,8.3,8.8,9.6,10.5,10.8,7.9781,10.0266,6.9539,11.0508
86,9.0307,1.0243,9910,31,7.6,7.9,8.4,8.8,9.6,10.5,10.9,8.0063,10.055,6.982,11.0793
87,9.0569,1.0233,9940,31,7.6,7.99,8.4,8.9,9.6,10.5,10.9,8.0336,10.0803,7.0103,11.1036
88,9.0838,1.0214,9934,31,7.7,8.0,8.4,8.9,9.6,10.5,10.9,8.0624,10.1052,7.041,11.1266
89,9.1137,1.0214,9966,31,7.8,8.0,8.4,8.9,9.6,10.6,10.9,8.0923,10.1351,7.0709,11.1564
90,9.1456,1.0224,9987,31,7.8,8.1,8.5,9.0,9.7,10.6,10.9,8.1232,10.1681,7.1008,11.1905
91,9.1805,1.0254,9971,31,7.9,8.1,8.5,9.0,9.7,10.6,10.9,8.1551,10.206,7.1297,11.2314
92,9.2192,1.0314,9977,31,7.9,8.1,8.5,9.0,9.8,10.6,10.9,8.1878,10.2506,7.1564,11.282
