yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
45,3.7874,0.1052,4571,14,3.6244,3.6562,3.7138,3.7838,3.8566,3.9264,3.9646,3.6821,3.8926,3.5769,3.9978
46,3.7839,0.1049,4595,14,3.6208,3.6521,3.7106,3.7798,3.8529,3.9228,3.9631,3.6789,3.8888,3.574,3.9938
47,3.7801,0.1051,4619,14,3.6183,3.649,3.7065,3.7755,3.8499,3.92,3.9621,3.675,3.8851,3.5699,3.9902
48,3.7761,0.1055,4645,14,3.6145,3.6452,3.7025,3.7706,3.8472,3.9144,3.9561,3.6705,3.8816,3.565,3.9871
49,3.7719,0.1064,4671,14,3.6111,3.6401,3.6962,3.7659,3.8441,3.9115,3.9534,3.6655,3.8782,3.5592,3.9846
50,3.7676,0.1073,4669,14,3.6061,3.6371,3.6918,3.7624,3.8388,3.9074,3.9499,3.6602,3.8749,3.5529,3.9823
51,3.7638,0.1083,4669,14,3.5979,3.6289,3.6858,3.7592,3.8366,3.9052,3.9474,3.6555,3.8721,3.5471,3.9805
52,3.7607,0.109,4717,14,3.5871,3.6224,3.6805,3.7547,3.8333,3.9024,3.9462,3.6517,3.8697,3.5426,3.9788
53,3.7583,0.1098,4710,14,3.5855,3.6222,3.6793,3.7527,3.8312,3.901,3.9439,3.6485,3.8681,3.5387,3.9779
54,3.7566,0.1102,4709,14,3.5854,3.6219,3.6784,3.7527,3.8303,3.8987,3.942,3.6464,3.8668,3.5362,3.977
55,3.7557,0.1104,4709,14,3.5848,3.621,3.6769,3.7519,3.8301,3.901,3.9417,3.6452,3.8661,3.5348,3.9765
56,3.7551,0.1106,4707,14,3.5828,3.6211,3.6758,3.7511,3.8299,3.9011,3.9431,3.6445,3.8657,3.5339,3.9762
57,3.7548,0.1108,4714,14,3.5807,3.6204,3.6749,3.7493,3.8297,3.9011,3.9429,3.644,3.8656,3.5331,3.9764
58,3.7546,0.1109,4714,14,3.5806,3.6205,3.6772,3.7505,3.8297,3.8993,3.9395,3.6437,3.8655,3.5328,3.9764
59,3.7548,0.1108,4714,14,3.5792,3.6198,3.6774,3.7511,3.83,3.9016,3.9406,3.644,3.8656,3.5332,3.9764
60,3.7555,0.1104,4721,14,3.579,3.6205,3.6772,3.751,3.8296,3.9013,3.9404,3.6451,3.8659,3.5347,3.9763
61,3.7564,0.1101,4721,14,3.5807,3.6227,3.6791,3.7522,3.83,3.9017,3.9406,3.6463,3.8665,3.5362,3.9766
62,3.7572,0.1095,4721,14,3.5849,3.6258,3.6816,3.7544,3.8299,3.9013,3.9412,3.6478,3.8667,3.5383,3.9762
63,3.7585,0.1088,4724,14,3.5857,3.6266,3.683,3.7553,3.8306,3.9007,3.9413,3.6497,3.8673,3.5409,3.9761
64,3.76,0.1077,4721,14,3.5849,3.6266,3.6848,3.7566,3.8303,3.8987,3.9382,3.6523,3.8677,3.5446,3.9754
65,3.7618,0.1066,4721,14,3.5874,3.6291,3.6865,3.7578,3.8312,3.9002,3.9397,3.6552,3.8683,3.5487,3.9749
66,3.7637,0.1056,4721,14,3.5972,3.6332,3.6904,3.7613,3.8316,3.9013,3.9409,3.6581,3.8693,3.5525,3.9749
67,3.7658,0.1054,4673,14,3.603,3.6394,3.6939,3.7633,3.8344,3.9028,3.9415,3.6604,3.8712,3.555,3.9766
