yearday,mean,sd,n,n_years,p05,p10,p25,p50,p75,p90,p95,lo1,hi1,lo2,hi2
45,9.4294,0.5237,3117,9,8.6704,8.7318,9.0694,9.3161,9.9511,10.1161,10.1727,8.9057,9.953,8.382,10.4767
46,9.4213,0.5319,3117,9,8.5815,8.7281,9.0534,9.311,9.953,10.1161,10.1718,8.8894,9.9531,8.3576,10.485
47,9.4145,0.5432,3117,9,8.4274,8.725,9.0379,9.3017,9.9561,10.1162,10.1709,8.8713,9.9577,8.3281,10.5009
48,9.4067,0.5567,3126,9,8.3584,8.7198,9.0259,9.2999,9.9629,10.122,10.1779,8.8501,9.9634,8.2934,10.5201
49,9.3985,0.5709,3144,9,8.3262,8.6593,9.0012,9.3016,9.9644,10.1252,10.1913,8.8276,9.9694,8.2567,10.5403
50,9.3929,0.5861,3144,9,8.2944,8.6194,8.9605,9.3006,9.9644,10.1348,10.2016,8.8068,9.979,8.2207,10.5651
51,9.3862,0.6017,3144,9,8.2794,8.5639,8.93,9.303,9.9644,10.1386,10.2084,8.7845,9.9879,8.1828,10.5896
52,9.3783,0.618,3192,9,8.2794,8.4575,8.9252,9.3207,9.9713,10.147,10.254,8.7603,9.9963,8.1422,10.6143
53,9.3699,0.6344,3185,9,8.2759,8.4298,8.9185,9.3094,9.9704,10.1581,10.2736,8.7355,10.0043,8.1011,10.6386
54,9.3603,0.6505,3183,9,8.2625,8.3898,8.8744,9.35,9.9622,10.1505,10.2734,8.7098,10.0108,8.0593,10.6614
55,9.347,0.6652,3183,9,8.2503,8.3607,8.7691,9.3975,9.9521,10.1488,10.2734,8.6818,10.0123,8.0165,10.6775
56,9.3335,0.6788,3183,9,8.2343,8.3447,8.7188,9.4695,9.9449,10.141,10.2614,8.6547,10.0123,7.9758,10.6911
57,9.3201,0.691,3183,9,8.2161,8.3372,8.6922,9.5006,9.943,10.1395,10.2566,8.6291,10.0111,7.9381,10.7021
58,9.3068,0.7012,3183,9,8.2017,8.3228,8.6629,9.5189,9.943,10.141,10.2736,8.6057,10.008,7.9045,10.7092
59,9.2932,0.7106,3183,9,8.1836,8.2936,8.632,9.5216,9.9291,10.1428,10.2858,8.5826,10.0039,7.872,10.7145
60,9.2778,0.7198,3194,10,8.1818,8.2856,8.6177,9.4947,9.9291,10.1494,10.2924,8.558,9.9976,7.8382,10.7175
61,9.2605,0.728,3218,10,8.1517,8.2763,8.5976,9.3016,9.9489,10.1661,10.2956,8.5325,9.9885,7.8045,10.7165
62,9.2417,0.7355,3240,10,8.078,8.253,8.5598,9.1666,9.9482,10.1672,10.297,8.5062,9.9772,7.7707,10.7127
63,9.2229,0.7423,3264,10,8.0636,8.2249,8.5156,9.1231,9.9455,10.1497,10.2954,8.4806,9.9652,7.7383,10.7075
64,9.2052,0.7476,3288,10,8.053,8.2084,8.4832,9.0751,9.9392,10.1455,10.2921,8.4576,9.9529,7.71,10.7005
65,9.1854,0.7503,3310,10,8.0373,8.1963,8.4659,9.065,9.9398,10.1355,10.2834,8.4351,9.9357,7.6848,10.6859
66,9.1656,0.7521,3330,10,8.0341,8.1711,8.4643,9.0415,9.9308,10.1342,10.2854,8.4135,9.9176,7.6614,10.6697
67,9.1469,0.7532,3306,10,8.0334,8.1633,8.4538,9.0001,9.8996,10.1223,10.2661,8.3936,9.9001,7.6404,10.6534
68,9.129,0.7546,3332,10,8.0378,8.159,8.4448,8.9823,9.8866,10.1198,10.264,8.3744,9.8837,7.6197,10.6383
69,9.1122,0.7563,3355,10,8.0412,8.1603,8.4184,8.9708,9.8659,10.1168,10.3061,8.3559,9.8685,7.5996,10.6248
